               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,             0.07793,            0.037709,           0.0021648,             0.35173,             0.33791,             0.26667,             0.07228,            0.080437,            0.037799,           0.0088476,            0.006436,            0.006436,            0.006436
                  74,            0.078322,            0.038537,           0.0037693,             0.41003,              0.3248,             0.29277,            0.078669,            0.081983,            0.037221,           0.0069665,           0.0063865,           0.0063865,           0.0063865
                  75,            0.079278,            0.038391,           0.0015769,             0.41869,             0.31913,             0.27347,            0.077078,            0.083429,            0.040951,           0.0092071,            0.006337,            0.006337,            0.006337
                  76,            0.076301,            0.036753,           0.0016182,             0.42348,             0.33573,             0.29726,            0.081165,            0.081708,            0.037278,            0.011342,           0.0062875,           0.0062875,           0.0062875
                  77,            0.076584,            0.037458,           0.0015047,             0.40444,             0.31685,              0.2756,            0.074029,            0.083541,            0.037351,           0.0080306,            0.006238,            0.006238,            0.006238
                  78,            0.078157,            0.037583,           0.0016361,              0.4309,             0.31964,             0.31014,            0.090031,            0.079106,            0.037715,           0.0064497,           0.0061885,           0.0061885,           0.0061885
                  79,            0.077803,            0.036569,           0.0014559,              0.4616,             0.30779,             0.28379,            0.081691,            0.080971,            0.037286,           0.0094915,            0.006139,            0.006139,            0.006139
                  80,             0.07764,            0.039183,           0.0016128,             0.40334,             0.33714,             0.27435,            0.075991,            0.082588,            0.037846,           0.0093622,           0.0060895,           0.0060895,           0.0060895
                  81,            0.077063,            0.037566,            0.002302,             0.39896,             0.33507,             0.28267,            0.084732,            0.080707,            0.036965,           0.0081326,             0.00604,             0.00604,             0.00604
                  82,            0.075272,            0.038152,           0.0018133,             0.40471,             0.32058,             0.28426,            0.075213,            0.081489,            0.037301,            0.011067,           0.0059905,           0.0059905,           0.0059905
                  83,            0.076163,            0.037024,           0.0026544,             0.42328,             0.28436,             0.27432,             0.08052,            0.081761,            0.037143,           0.0089026,            0.005941,            0.005941,            0.005941
                  84,            0.077351,            0.038242,            0.001827,             0.42641,             0.31536,             0.30358,            0.090126,            0.080815,            0.037262,            0.009762,           0.0058915,           0.0058915,           0.0058915
                  85,            0.076062,            0.037661,           0.0021352,             0.39803,             0.34804,             0.29144,            0.081203,            0.080945,             0.03666,            0.010066,            0.005842,            0.005842,            0.005842
                  86,            0.075971,            0.038346,           0.0032055,             0.46129,             0.34211,             0.32531,            0.094778,            0.081546,            0.036761,           0.0064526,           0.0057925,           0.0057925,           0.0057925
                  87,             0.07577,            0.035098,           0.0016937,             0.38731,             0.29392,              0.2747,            0.076404,            0.081757,            0.037419,           0.0055816,            0.005743,            0.005743,            0.005743
                  88,            0.076033,            0.037965,           0.0019477,             0.40563,             0.33244,              0.2996,            0.085224,            0.083708,            0.036518,            0.006573,           0.0056935,           0.0056935,           0.0056935
                  89,             0.07713,            0.038461,           0.0017804,             0.42324,             0.32813,             0.29181,            0.081585,            0.081186,            0.036741,            0.010152,            0.005644,            0.005644,            0.005644
                  90,            0.074943,            0.037275,           0.0017222,             0.41465,             0.33467,             0.29117,            0.079697,            0.082528,            0.036748,            0.007027,           0.0055945,           0.0055945,           0.0055945
                  91,             0.07563,            0.036622,           0.0012505,             0.39672,             0.34403,             0.30164,            0.090021,            0.081208,            0.038053,           0.0037848,            0.005545,            0.005545,            0.005545
                  92,            0.076494,            0.036424,           0.0033679,             0.40716,             0.35709,             0.29927,            0.088256,            0.081435,            0.037023,           0.0045558,           0.0054955,           0.0054955,           0.0054955
                  93,            0.075072,            0.036397,           0.0014629,             0.40869,             0.33385,             0.30455,            0.085821,            0.080362,            0.037108,           0.0051582,            0.005446,            0.005446,            0.005446
                  94,            0.073667,            0.034932,          0.00086111,             0.38956,             0.33076,             0.29187,             0.08125,            0.080692,            0.037241,           0.0028448,           0.0053965,           0.0053965,           0.0053965
                  95,            0.074314,            0.035947,          0.00095195,             0.44438,              0.3212,             0.30764,            0.090669,            0.079895,            0.037127,           0.0056885,            0.005347,            0.005347,            0.005347
                  96,            0.072626,            0.037119,           0.0031306,              0.4208,             0.35319,             0.32248,            0.090456,             0.08235,            0.037849,           0.0070824,           0.0052975,           0.0052975,           0.0052975
                  97,            0.072385,            0.036169,          0.00098291,             0.39472,             0.35395,             0.30219,            0.084401,            0.081441,            0.037825,           0.0076875,            0.005248,            0.005248,            0.005248
                  98,            0.075203,            0.035682,           0.0022809,             0.40628,              0.3332,             0.28366,            0.078348,            0.081394,            0.038719,            0.012016,           0.0051985,           0.0051985,           0.0051985
                  99,            0.075569,            0.037707,           0.0019748,             0.37707,             0.32657,             0.26579,            0.076446,            0.081983,            0.037853,           0.0079493,            0.005149,            0.005149,            0.005149
                 100,             0.07428,            0.035595,           0.0025723,             0.38584,             0.34378,             0.27964,             0.07706,            0.080746,            0.037727,           0.0084227,           0.0050995,           0.0050995,           0.0050995
                 101,            0.073977,            0.036627,           0.0016262,              0.3863,             0.34459,              0.2892,            0.080237,            0.082205,            0.037549,            0.010571,             0.00505,             0.00505,             0.00505
                 102,            0.073837,            0.039942,           0.0022545,             0.46049,             0.36063,             0.32472,            0.094131,            0.082443,            0.036748,           0.0082085,           0.0050005,           0.0050005,           0.0050005
                 103,            0.072927,              0.0358,           0.0012957,             0.44216,             0.36533,             0.32834,            0.090993,            0.080724,            0.037304,           0.0097632,            0.004951,            0.004951,            0.004951
                 104,             0.07336,            0.036881,           0.0010509,             0.41404,             0.36205,             0.32442,            0.090085,            0.080639,            0.036579,           0.0086598,           0.0049015,           0.0049015,           0.0049015
                 105,             0.07359,            0.035338,           0.0015067,             0.41768,             0.34135,             0.29362,            0.078151,            0.080924,            0.037358,           0.0074128,            0.004852,            0.004852,            0.004852
                 106,             0.07332,            0.035832,          0.00076833,             0.41661,              0.3477,             0.30695,            0.087077,            0.082165,            0.036748,           0.0078632,           0.0048025,           0.0048025,           0.0048025
                 107,            0.073265,            0.038918,           0.0010225,               0.449,             0.32596,             0.29947,            0.086786,            0.080701,            0.037223,            0.010794,            0.004753,            0.004753,            0.004753
                 108,            0.072136,            0.037188,          0.00092253,             0.42019,             0.31805,             0.28828,            0.078558,            0.082163,            0.037381,            0.012393,           0.0047035,           0.0047035,           0.0047035
                 109,            0.070953,             0.03442,           0.0010854,             0.41902,             0.30961,              0.2816,            0.084298,            0.082068,            0.036909,            0.011587,            0.004654,            0.004654,            0.004654
                 110,            0.071208,            0.036571,           0.0010863,              0.4429,             0.33208,             0.29386,            0.084036,            0.081226,            0.037026,            0.014031,           0.0046045,           0.0046045,           0.0046045
                 111,            0.072482,            0.034303,          0.00096128,             0.41908,             0.31543,             0.28123,            0.084749,            0.081365,            0.037496,            0.018201,            0.004555,            0.004555,            0.004555
                 112,            0.071097,            0.036973,           0.0012599,             0.37587,             0.33634,             0.29906,            0.088927,            0.082583,            0.036737,            0.015549,           0.0045055,           0.0045055,           0.0045055
                 113,            0.072188,            0.036685,           0.0028636,             0.40928,             0.35602,             0.30144,            0.086619,            0.082274,            0.037026,              0.0101,            0.004456,            0.004456,            0.004456
                 114,            0.071445,            0.038044,           0.0012274,             0.44683,             0.31275,             0.28968,            0.083226,             0.08232,            0.037423,           0.0071014,           0.0044065,           0.0044065,           0.0044065
                 115,              0.0733,            0.036031,           0.0012054,             0.44949,             0.30151,             0.29771,            0.085317,             0.08095,            0.036611,           0.0057869,            0.004357,            0.004357,            0.004357
                 116,            0.072416,            0.036669,          0.00082207,             0.42489,             0.33204,             0.30177,            0.086431,            0.079632,            0.036769,           0.0049206,           0.0043075,           0.0043075,           0.0043075
                 117,            0.071774,            0.035706,          0.00097485,             0.43483,             0.31128,             0.27856,            0.079035,            0.081809,            0.037173,           0.0040978,            0.004258,            0.004258,            0.004258
                 118,            0.069533,            0.035363,          0.00079415,             0.40673,             0.32079,             0.28597,            0.084649,            0.079801,            0.037236,           0.0065186,           0.0042085,           0.0042085,           0.0042085
